,name,method
279,public List get Methods  ,public List getMethods()
280,public void update Relative Path  ,public void updateRelativePath()
281,public String to String Compact  ,public String toStringCompact()
282,public Method Signature get Method String ,public MethodSignature getMethod(String)
283,public void add Method Method Signature ,public void addMethod(MethodSignature)
284,private String resolve Super Name String ,private String resolveSuperName(String)
285,private void set Interfaces String[] ,private void setInterfaces(String[])
286,public boolean is Abstract Class  ,public boolean isAbstractClass()
287,public void add Methods List ,public void addMethods(List)
288,public boolean is Groovy Class  ,public boolean isGroovyClass()
289,public Source Language get Source Language  ,public SourceLanguage getSourceLanguage()
290,public boolean is Kotlin Class  ,public boolean isKotlinClass()
291,public Hash Map get Methods Map  ,public HashMap getMethodsMap()
292,public boolean has Class Names  ,public boolean hasClassNames()
293,public void add Class Name String ,public void addClassName(String)
294,private boolean is Empty List ,private boolean isEmpty(List)
295,public boolean has Exclusions  ,public boolean hasExclusions()
296,public String to String  ,public String toString()
297,public boolean has Inclusions  ,public boolean hasInclusions()
298,protected static void handle Hit Null Pointer Exception Null Pointer Exception  String ,"protected static void handleHitNullPointerException(NullPointerException, String)"
299,public List flush Footprints  ,public List flushFootprints()
300,public Meth Footprint[] get All Footprints  ,public MethFootprint[] getAllFootprints()
301,protected static void handle Hit Exception Exception  String ,"protected static void handleHitException(Exception, String)"
302,public void apply Method Hit int ,public void applyMethodHit(int)
303,public int add Method Meth Footprint ,public int addMethod(MethFootprint)
304,public boolean match Method Signature ,public boolean match(MethodSignature)
305,public void insert Upsert Class Annotation Transformer$Modifying Array Visitor ,public void insert(UpsertClassAnnotationTransformer$ModifyingArrayVisitor)
306,public void set Values List ,public void setValues(List)
307,public void add Value String  Object ,"public void addValue(String, Object)"
308,public void insert Upsert Class Annotation Transformer$Modifying Array Visitor ,public void insert(UpsertClassAnnotationTransformer$ModifyingArrayVisitor)
309,public void insert Upsert Class Annotation Transformer$Modifying Array Visitor ,public void insert(UpsertClassAnnotationTransformer$ModifyingArrayVisitor)
310,public List get Constructors  ,public List getConstructors()
311,public List get Properties  ,public List getProperties()
312,public List get Functions  ,public List getFunctions()
313,private List resolve Constructors  ,private List resolveConstructors()
314,private List resolve Properties  ,private List resolveProperties()
315,public boolean is Kotlin Synthetic Class  ,public boolean isKotlinSyntheticClass()
316,private List resolve Functions  ,private List resolveFunctions()
317,public void execute Object ,public void execute(Object)
318,public boolean should Weave String ,public boolean shouldWeave(String)
319,private boolean is Predefined Class Loader String ,private boolean isPredefinedClassLoader(String)
320,public String to String  ,public String toString()
321,public String get Build Session Id  ,public String getBuildSessionId()
322,public Stringable Configuration$Prop Convert List create Prop Converters  ,public StringableConfiguration$PropConvertList createPropConverters()
323,protected List to Element List Node List ,protected List toElementList(NodeList)
324,public Document parse  ,public Document parse()
325,protected Element get Document Element  ,protected Element getDocumentElement()
326,protected Node List get Node List String  Element ,"protected NodeList getNodeList(String, Element)"
327,public List get Elements String  Element ,"public List getElements(String, Element)"
328,protected Document get Document Internal  ,protected Document getDocumentInternal()
329,protected List get Children Elements Element ,protected List getChildrenElements(Element)
330,public boolean is Node Exist String  Element ,"public boolean isNodeExist(String, Element)"
331,public Object execute  ,public Object execute()
332,private Custom Method Exclude Rules read File File ,private CustomMethodExcludeRules readFile(File)
333,public Custom Method Exclude Rules read  ,public CustomMethodExcludeRules read()
334,private Custom Method Exclude Rules return Empty Rules  ,private CustomMethodExcludeRules returnEmptyRules()
335,public String to MD5 String ,public String toMD5(String)
336,public String build Hash String Printer ,public String buildHashString(Printer)
337,public String sanitize Hashed String String ,public String sanitizeHashedString(String)
338,private String remove Numbers From End Of String String  String ,"private String removeNumbersFromEndOfString(String, String)"
339,protected Bi Function create Concrete Instance  ,protected BiFunction createConcreteInstance()
340,public String execute  ,public String execute()
341,public void visit Maxs int  int ,"public void visitMaxs(int, int)"
342,protected void on Method Enter  ,protected void onMethodEnter()
343,private void define Frame For Load By Name Only  ,private void defineFrameForLoadByNameOnly()
344,private void define Frame For Load By Name And Flag  ,private void defineFrameForLoadByNameAndFlag()
345,public boolean match Method Signature ,public boolean match(MethodSignature)
346,public void run  ,public void run()
347,public static String resolve Bld Session Id  ,public static String resolveBldSessionId()
348,public static String resolve Token File For Web App String ,public static String resolveTokenFileForWebApp(String)
349,public static String resolve Token String ,public static String resolveToken(String)
350,public static String resolve Bld Session Id For Web App String ,public static String resolveBldSessionIdForWebApp(String)
351,public static String resolve Bld Session Id String ,public static String resolveBldSessionId(String)
352,public static String resolve Bld Session Id On Tomcat List ,public static String resolveBldSessionIdOnTomcat(List)
353,public static String resolve Token File On Tomcat List ,public static String resolveTokenFileOnTomcat(List)
